# Force coefficients        
# liftDir                   : (0.00000000000000000000e+00 1.00000000000000000000e+00 0.00000000000000000000e+00)
# dragDir                   : (1.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 2.60000000000000000000e+01
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.02708480876404995019e-01
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
0                           	1.02392880851856507237e-04	1.01540281822904776901e-03	2.05243602852920090486e-04	2.05014682278316552480e-04	2.28920574603538005964e-07
50                          	-1.66594442949245369334e+00	-4.29827944163202357863e-01	-3.45200154021653959902e+00	-3.39194519960072327081e+00	-6.00563406158161061654e-02
100                         	-9.04076693903485106851e-01	-2.15441154618671137921e-01	-1.79377190401336750192e+00	-1.80096264591016885781e+00	7.19074189680135589242e-03
150                         	-1.67008915006414737636e-01	-4.97141616926132581811e-02	-2.56809602318094687412e-01	-2.95413716165462081342e-01	3.86041138473673939302e-02
200                         	9.97788982122568279820e-02	1.02973371719615475889e-02	2.87228887862108483997e-01	2.43393342143311069981e-01	4.38355457187974140165e-02
250                         	1.01249994266948209476e-01	1.57271577507405620200e-02	2.94598532584700312231e-01	2.48549260559298379469e-01	4.60492720254019466397e-02
300                         	6.41853008843539796224e-02	8.53415769548119748644e-03	2.28217883907389923470e-01	1.78294242838048955235e-01	4.99236410693409821127e-02
350                         	5.58890764155440811223e-02	3.08025860152621273544e-03	2.20976017135432079019e-01	1.66377084983260120632e-01	5.45989321521719583874e-02
400                         	6.46797476838280316347e-02	2.66571746589889635014e-04	2.45379537364627642315e-01	1.87369516366141852792e-01	5.80100209984857895229e-02
450                         	6.94284653016640357359e-02	-1.61129727229372644512e-03	2.60105154808721594772e-01	1.99481042706024847000e-01	6.06241121026967616503e-02
500                         	7.02959962994161302596e-02	-3.54963541529119139609e-03	2.67092080064479930890e-01	2.03842036331656095705e-01	6.32500437328238351853e-02
550                         	7.29766703282357653837e-02	-5.69887614216390246680e-03	2.77735176709900999370e-01	2.11844258683186265069e-01	6.58909180267147343013e-02
600                         	7.58337561622027117592e-02	-7.71133742467151449967e-03	2.88014326646236551444e-01	2.19840919485320973603e-01	6.81734071609155639626e-02
650                         	7.76380770593104313493e-02	-9.55902904103085940268e-03	2.95590528525139450977e-01	2.25433341321880142960e-01	7.01571872032592941393e-02
700                         	7.89960014691545586718e-02	-1.11526676881726124341e-02	3.02084538940260161066e-01	2.30038270939284639205e-01	7.20462680009755218613e-02
750                         	7.99025314093408239868e-02	-1.25450696165675338462e-02	3.07524185207000755327e-01	2.33664624012841215528e-01	7.38595611941595536765e-02
800                         	8.04198101521924058055e-02	-1.37434407968880459988e-02	3.11993490665603001588e-01	2.36416555484993906600e-01	7.55769351806090949886e-02
850                         	8.07964840362465908097e-02	-1.48299678444730118065e-02	3.15981125356343151012e-01	2.38787046714418166315e-01	7.71940786419249846961e-02
900                         	8.11658277348497880777e-02	-1.58434637863218673315e-02	3.19779568888392540238e-01	2.41055612179046058197e-01	7.87239567093464820413e-02
