# Forces                    
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      forces(pressure viscous)	moments(pressure viscous)
0                           	((0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00) (4.31814736323482134539e-02 8.72828109760310361098e-03 -2.53560320707149673024e-22)) ((0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00) (-2.18207027440077438486e-04 1.07953684080870507614e-03 4.35440537023135121331e-03))
50                          	((-1.84915713696053103376e+01 -1.46793792290863137850e+02 -8.66657870144758088206e-18) (2.12516294988620180195e-01 -7.56655080732504103230e-03 8.03707178613036086665e-20)) ((3.66984480727158235425e+00 -4.62289284240133047099e-01 -7.08414986570137585886e+01) (1.89163770183125993282e-04 5.31290737471550381099e-03 -5.19800722427512379431e-03))
100                         	((-9.39116354021123989071e+00 -7.62798901963107454094e+01 -5.73016788859962827207e-18) (2.29216802940830993718e-01 -2.85472524992091926041e-03 5.33862882876637810563e-20)) ((1.90699725490776894610e+00 -2.34779088505281063881e-01 -3.84444246321609028882e+01) (7.13681312480227971959e-05 5.73042007352077015919e-03 -2.74452923849541775142e-03))
150                         	((-2.33786076684046362217e+00 -1.09240701435150491250e+01 -2.16412225903184089949e-18) (2.23694128985387402642e-01 2.87032808262917271680e-03 1.33435011655162304455e-20)) ((2.73101753587876194818e-01 -5.84465191710115822277e-02 -7.10293126346607639476e+00) (-7.17582020657292745519e-05 5.59235322463468194354e-03 6.35573274465012411950e-04))
200                         	((2.23898781610834568534e-01 1.22102312795502943032e+01 -6.96154662338783934154e-19) (2.14010376795848694664e-01 4.59265534699956207154e-03 -3.32761110013402044595e-21)) ((-3.05255781988757413092e-01 5.59746954027084964167e-03 4.24157325521849326577e+00) (-1.14816383674989070762e-04 5.35025941989621545841e-03 1.66872212002101404787e-03))
250                         	((4.62830286131910184633e-01 1.25229286183129815413e+01 -5.69757719104164003532e-19) (2.05989846660150438540e-01 5.30011865429214946988e-03 -4.28065718594575208920e-21)) ((-3.13073215457824516328e-01 1.15707571532977608608e-02 4.30378898875068305330e+00) (-1.32502966357303584959e-04 5.14974616650376061655e-03 2.01347626414038203060e-03))
300                         	((1.62098980578469109570e-01 9.69931072329912424834e+00 -7.41739257010441303274e-19) (2.00828420139651825371e-01 5.98490860081364248191e-03 -1.99273597544410347930e-21)) ((-2.42482768082478317151e-01 4.05247451446173138218e-03 2.72726375556549882617e+00) (-1.49622715020340975312e-04 5.02071050349129927720e-03 2.30900902068845300871e-03))
350                         	((-6.58111695079231368011e-02 9.39059584097427269000e+00 -8.39869404839574204857e-19) (1.96803622153070706391e-01 6.72893103808194434357e-03 -1.13775736173908332201e-21)) ((-2.34764896024356822801e-01 -1.64527923769807642509e-03 2.37410445519996393671e+00) (-1.68223275952048245381e-04 4.92009055382676852713e-03 2.65936330434770815123e-03))
400                         	((-1.81374930556143704186e-01 1.04277001053849502910e+01 -8.84347900916058969554e-19) (1.92711279677743013705e-01 7.41966423374166433868e-03 -1.38664049498152543460e-21)) ((-2.60692502634624068136e-01 -4.53437326390362070716e-03 2.74760633390647024399e+00) (-1.85491605843541489205e-04 4.81778199194357516916e-03 2.99349604804616123768e-03))
450                         	((-2.56507623690985842035e-01 1.10532925296767867707e+01 -8.94435667346335515156e-19) (1.87984876434112296861e-01 8.05542245887952250427e-03 -1.59178577158553061593e-21)) ((-2.76332313241919758084e-01 -6.41269059227466374506e-03 2.94925344053855154058e+00) (-2.01385561471988149343e-04 4.69962191085281002362e-03 3.29247516712491243573e-03))
500                         	((-3.33394304934093388404e-01 1.13498341338247659138e+01 -9.03947480107495216118e-19) (1.82440924326801784394e-01 8.64292144744522802813e-03 -1.56594001413563617195e-21)) ((-2.83745853345619081232e-01 -8.33485762335235171039e-03 2.98589624095482975008e+00) (-2.16073036186130782018e-04 4.56102310817004582416e-03 3.54268531980741867293e-03))
550                         	((-4.18599846851615220444e-01 1.18019366969044394722e+01 -9.33862674521493131549e-19) (1.76246895442573076052e-01 9.15343852677462030409e-03 -1.59035173338086851757e-21)) ((-2.95048417422610675942e-01 -1.04649961712903818989e-02 3.09972285610413367252e+00) (-2.28835963169365485918e-04 4.40617238606432880949e-03 3.71561085947248260011e-03))
600                         	((-4.97842074302651760309e-01 1.22386426440260969173e+01 -9.66080172051865111718e-19) (1.69906295815891617007e-01 9.58321130884464029986e-03 -1.67125172469555269461e-21)) ((-3.05966066100652245296e-01 -1.24460518575662988650e-02 3.22113076308037316053e+00) (-2.39580282721115866550e-04 4.24765739539728973129e-03 3.80941176697941266682e-03))
650                         	((-5.70557405494992675443e-01 1.25604586551722050558e+01 -9.99332416740018259842e-19) (1.64045868323924565191e-01 9.95614409119109991519e-03 -1.68837859138692293653e-21)) ((-3.14011466379304826635e-01 -1.42639351373748390905e-02 3.29782562169457760248e+00) (-2.48903602279777454512e-04 4.10114670809811222157e-03 3.84590926486432426942e-03))
700                         	((-6.33531040122226496436e-01 1.28362920398562980751e+01 -1.01681894433677411581e-18) (1.59247714272195195484e-01 1.02899459408217503614e-02 -1.71356169617720489363e-21)) ((-3.20907300996407407467e-01 -1.58382760030556513087e-02 3.35557058346818415373e+00) (-2.57248648520543433775e-04 3.98119285680488110141e-03 3.84864726687456689541e-03))
750                         	((-6.89247647883656222589e-01 1.30673232095136881981e+01 -1.02623454407368274021e-18) (1.55750415909668010750e-01 1.05876022623003392120e-02 -1.69315338276286325478e-21)) ((-3.26683080237842538018e-01 -1.72311911970913882175e-02 3.39414166303009512404e+00) (-2.64690056557508501985e-04 3.89376039774169766666e-03 3.82906471317594372661e-03))
800                         	((-7.37956012970412134067e-01 1.32571266082227463556e+01 -1.02651053110529294144e-18) (1.53496313101142367596e-01 1.08478830613768714719e-02 -1.65178475474482045300e-21)) ((-3.31428165205568558971e-01 -1.84489003242602790655e-02 3.41617571896331950754e+00) (-2.71197076534421363959e-04 3.83740782752856057769e-03 3.79303556697348437723e-03))
850                         	((-7.82898920394362929365e-01 1.34264857430350765810e+01 -1.02668760992463753704e-18) (1.52233086157697844465e-01 1.10686816137679569505e-02 -1.59082104318525228793e-21)) ((-3.35662143575876592561e-01 -1.95724730098590857241e-02 3.43224402659253247094e+00) (-2.76717040344199281549e-04 3.80582715394244723919e-03 3.74332971852749888525e-03))
900                         	((-8.25424244978930743422e-01 1.35878400004012114266e+01 -1.02927783577275114573e-18) (1.51658029786294945573e-01 1.12487299227182202532e-02 -1.52888051041168913208e-21)) ((-3.39696000010029808269e-01 -2.06356061244732172377e-02 3.44801278535351807264e+00) (-2.81218248067955842433e-04 3.79145074465737268524e-03 3.68144599884199152581e-03))
